TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ABCB4;18,75;6,82;5,66;0,84;0,08;28,19;16,40;14,70;5,07;5,07;;;0,83;1,57;-0,09;2,70;14,77;1,44;;0,10;0,90;0,10;7,15;13,84;17.339.161,58;22,43;3,31;0,13;4.239.189.712,50
ABEV3;15,70;3,84;18,88;2,74;1,74;49,47;21,95;16,57;14,26;13,33;-0,93;-0,18;3,13;37,60;-2,46;1,19;14,52;9,22;17,86;0,63;0,36;0,56;9,82;0,86;462.071.054,12;5,73;0,83;-1,09;247.278.404.560,70
AERI3;1,08;1,92;-23,53;0,88;0,24;11,63;8,52;-1,46;4,04;7,55;3,50;0,76;0,34;0,67;-0,70;2,19;-3,73;-1,02;7,95;0,27;0,73;0,69;;;10.307.810,58;1,23;-0,05;0,15;827.510.532,48
AESB3;9,85;1,09;12,11;1,42;0,39;23,01;16,12;17,84;13,40;23,42;10,03;1,06;2,16;2,00;-0,54;3,63;11,73;3,24;-0,56;0,28;0,64;0,18;;;20.101.246,96;6,94;0,81;;5.928.984.013,35
AGRO3;26,07;20,16;5,88;1,20;0,80;39,39;33,72;26,43;4,61;4,90;0,30;0,08;1,55;2,42;-1,52;3,28;20,50;13,58;16,13;0,66;0,34;0,51;59,78;75,47;18.290.744,54;21,65;4,44;0,87;2.668.968.598,56
AGXY3;8,69;1,93;-22,59;1,18;0,19;12,49;4,37;-0,61;3,17;5,98;2,81;1,05;0,14;7,95;-0,95;1,03;-5,23;-0,84;15,21;0,16;0,84;1,37;;;673.645,12;7,35;-0,38;-0,02;1.484.469.154,41
ALLD3;6,08;14,28;7,68;0,38;0,14;13,67;3,61;1,36;2,90;4,60;1,70;0,22;0,10;0,51;-0,48;1,59;4,91;1,76;7,51;0,36;0,64;1,29;;;260.476,08;16,15;0,79;-0,10;566.781.138,56
ALPA4;14,02;1,16;21,94;1,63;1,21;46,83;8,91;11,00;27,08;25,70;0,40;0,02;2,41;7,07;-2,01;1,76;7,45;5,52;4,82;0,74;0,26;0,50;-0,53;3,84;84.418.573,31;8,58;0,64;-7,56;8.948.437.577,79
ALPK3;1,75;;-2,26;0,82;0,14;29,84;6,40;-15,39;5,44;23,88;18,45;2,77;0,35;-0,99;-0,16;0,44;-36,11;-6,36;3,53;0,18;0,82;0,41;;;279.644,73;2,14;-0,77;0,18;375.246.415,25
ALSO3;16,75;2,29;15,43;0,64;0,36;70,92;55,69;26,63;7,38;3,01;-4,36;-0,38;4,11;1,87;-0,49;3,98;4,17;2,34;7,18;0,56;0,35;0,09;22,33;24,54;37.529.752,23;26,05;1,09;0,20;4.451.694.031,50
ALUP11;26,23;4,69;8,13;1,06;0,28;80,24;73,84;22,37;2,46;5,18;2,71;1,16;1,82;2,47;-0,34;2,73;12,99;3,48;12,37;0,27;0,60;0,16;27,49;24,93;21.843.688,69;24,85;3,23;-0,25;7.686.362.861,96
AMBP3;20,58;1,47;25,22;2,25;0,29;21,94;17,50;2,81;4,05;9,41;5,36;2,98;0,71;1,06;-0,55;2,37;8,92;1,14;7,78;0,13;0,84;0,41;;;34.691.855,00;9,15;0,82;-0,79;2.324.214.401,04
AMER3;8,60;7,22;182,59;0,52;0,18;30,68;4,18;0,15;6,69;14,33;7,64;0,59;0,28;0,89;-0,33;1,84;0,28;0,10;1,24;0,35;0,65;0,65;21,42;;354.301.215,92;16,59;0,05;-4,74;7.831.149.353,20
ANIM3;4,15;;-4,48;0,62;0,16;56,74;10,86;-10,54;4,35;14,34;9,99;1,43;0,47;5,17;-0,20;1,18;-13,91;-3,57;3,94;0,26;0,71;0,34;22,51;;27.717.144,31;6,66;-0,93;0,00;1.676.055.540,75
APER3;26,77;0,26;15,60;0,66;0,40;100,00;7,85;8,96;17,81;9,86;-7,95;-0,29;1,40;3,65;-0,56;1,60;4,21;2,55;1,93;0,61;0,39;0,28;4,50;;625.375,54;40,77;1,72;0,00;307.323.187,18
ARML3;12,35;2,33;34,59;3,75;1,23;45,97;33,61;14,73;15,15;18,80;3,64;0,90;5,09;5,59;-1,88;2,79;10,85;3,56;7,87;0,33;0,67;0,24;;;7.625.840,58;3,29;0,36;0,16;4.273.298.106,35
ARZZ3;82,14;1,33;19,98;3,63;2,16;53,58;13,23;10,03;15,15;14,55;-0,60;-0,14;2,00;11,91;-4,52;1,53;18,17;10,80;18,34;0,59;0,41;1,08;18,73;31,28;138.304.380,85;22,62;4,11;0,35;9.050.684.364,78
ASAI3;19,34;0,65;19,46;7,26;0,72;16,39;5,35;2,68;9,73;12,68;2,95;2,20;0,52;-21,23;-1,08;0,91;37,30;3,68;16,95;0,10;0,90;1,38;;;358.704.124,62;2,67;0,99;-0,80;26.089.340.387,16
AURA33;29,97;8,98;5,24;1,27;0,60;30,86;23,84;19,08;4,19;5,11;0,92;0,28;1,00;3,84;-0,95;1,72;24,18;11,39;12,61;0,47;0,53;0,60;;;6.919.147,12;23,67;5,72;-0,32;2.120.151.526,20
AURE3;14,38;0,70;61,01;1,13;0,49;22,14;19,25;4,91;15,57;18,00;2,42;0,18;3,00;2,67;-0,61;10,36;1,85;0,80;4,45;0,43;0,57;0,16;;;48.033.744,77;12,73;0,24;;14.380.000.000,00
AZUL4;10,68;;-6,08;-0,67;0,74;19,26;6,35;-14,59;13,96;27,38;23,54;;0,89;-1,39;-1,02;0,35;-11,03;-12,12;25,84;-1,10;2,10;0,83;8,38;;180.844.323,88;-15,92;-1,76;0,13;3.716.683.881,70
B3SA3;11,74;5,06;16,60;3,51;1,47;89,66;56,13;43,15;12,76;11,97;-0,79;-0,22;7,16;10,07;-2,37;1,62;21,13;8,84;12,42;0,42;0,58;0,20;34,69;24,43;859.948.336,00;3,35;0,71;-1,92;71.602.260.000,00
BAZA3;51,99;13,21;2,56;0,65;0,09;35,57;61,66;39,79;1,65;1,65;;;1,02;0,94;-0,10;;25,51;3,49;;0,14;0,86;0,09;-2,61;54,23;323.614,00;79,74;20,34;0,03;2.914.471.796,85
BBAS3;35,03;11,42;3,71;0,66;0,05;28,97;15,94;12,64;2,94;2,94;;;0,47;2,18;-0,05;12,02;17,69;1,29;;0,07;0,92;0,10;-6,50;30,98;730.502.361,62;53,44;9,45;0,05;100.375.558.210,60
BBDC3;12,90;4,67;5,84;0,85;0,07;32,71;15,85;12,86;4,73;5,04;;;0,75;1,04;-0,08;8,81;14,60;1,27;;0,09;0,91;0,10;-5,09;5,65;164.791.636,88;15,14;2,21;1,77;146.272.650.903,75
BBDC4;14,55;4,55;6,58;0,96;0,08;32,71;15,85;12,86;5,34;5,04;;;0,85;1,18;-0,09;8,81;14,60;1,27;;0,09;0,91;0,10;-5,09;5,65;1.224.770.680,31;15,14;2,21;2,00;146.272.650.903,75
BBSE3;31,47;6,25;11,52;6,65;4,52;;;;9,82;9,82;;;;22,42;-7,59;1,99;57,76;39,23;;0,68;0,32;0,00;;6,37;236.660.148,15;4,73;2,73;0,23;62.940.000.000,00
BEEF3;11,61;4,84;8,48;11,34;0,33;18,34;8,09;2,63;2,75;5,28;2,53;10,41;0,22;1,18;-1,03;1,70;133,61;3,90;15,04;0,03;0,97;1,48;22,82;33,65;96.124.263,85;1,02;1,37;0,18;7.050.560.355,27
BLAU3;26,47;2,54;15,14;2,70;1,95;46,95;30,43;22,56;11,23;10,17;-1,06;-0,25;3,42;3,68;-6,53;4,07;17,82;12,85;14,04;0,72;0,28;0,57;;;9.716.050,85;9,81;1,75;-1,33;4.748.557.565,33
BMOB3;14,52;1,39;15,11;1,28;0,96;21,73;6,83;6,16;13,64;8,54;-5,10;-0,48;0,93;2,24;-2,61;3,11;8,48;6,36;4,58;0,75;0,25;1,03;;;6.746.108,69;11,34;0,96;0,33;1.320.000.015,84
BOAS3;4,24;1,87;7,95;1,02;0,85;53,72;9,33;27,74;23,66;9,87;-13,78;-0,59;2,21;1,82;-2,02;5,23;12,79;10,70;-0,43;0,84;0,16;0,39;6,65;;9.783.479,73;4,17;0,53;0,08;2.256.623.913,04
BPAC11;23,30;2,27;12,49;2,11;0,24;20,70;23,06;16,11;8,72;8,72;;;2,01;6,75;-3,08;1,04;16,93;1,94;;0,11;0,89;0,12;5,25;8,61;402.917.391,73;11,02;1,87;-1,13;89.364.198.107,47
BPAN4;6,33;3,85;12,17;1,15;0,15;54,27;7,49;5,75;9,35;9,35;;;0,70;;-0,15;;9,45;1,25;;0,13;0,87;0,22;1,40;;31.367.494,65;5,51;0,52;-0,63;8.269.086.085,95
BRAP3;25,75;32,28;1,70;1,29;1,28;;;;1,72;1,71;-0,14;-0,11;;12,69;-1,44;9,56;75,82;74,92;74,47;0,99;0,01;0,00;;56,67;3.729.517,92;19,93;15,11;0,19;10.936.028.118,78
BRAP4;28,94;31,60;1,92;1,45;1,44;;;;1,93;1,71;-0,14;-0,11;;14,27;-1,62;9,56;75,82;74,92;74,47;0,99;0,01;0,00;;56,67;143.352.629,92;19,93;15,11;0,21;10.936.028.118,78
BRBI11;12,38;11,15;8,80;1,71;0,31;36,49;17,71;22,54;11,20;4,10;-7,10;-1,09;1,98;1,65;-36,22;1,24;19,47;3,56;0,77;0,18;0,82;0,16;;;1.258.605,69;7,23;1,41;0,41;1.299.846.815,52
BRFS3;7,81;;-6,34;0,69;0,15;16,71;2,36;-2,53;6,78;18,60;11,83;1,21;0,16;1,42;-0,27;1,30;-10,94;-2,35;2,51;0,21;0,77;0,93;7,46;;138.614.676,42;11,26;-1,23;0,01;8.454.116.051,26
BRIT3;2,85;0,04;40,25;0,95;0,45;40,74;13,03;3,49;10,77;16,19;5,43;0,48;1,40;10,43;-0,58;1,26;2,36;1,13;3,83;0,48;0,52;0,32;;;1.406.130,62;3,00;0,07;0,74;1.279.920.510,60
BRKM3;27,10;6,26;11,34;2,49;0,23;17,15;9,30;1,80;2,20;4,31;2,20;2,49;0,20;1,62;-0,40;1,53;21,92;2,07;18,39;0,09;0,93;1,15;17,25;;472.854,62;10,90;2,39;-0,13;20.823.413.750,08
BRKM5;24,84;6,83;10,39;2,28;0,21;17,15;9,30;1,80;2,01;4,31;2,20;2,49;0,19;1,48;-0,37;1,53;21,92;2,07;18,39;0,09;0,93;1,15;17,25;;81.470.613,81;10,90;2,39;-0,12;20.823.413.750,08
BRML3;8,24;0,65;12,59;0,62;0,37;88,97;69,50;39,67;7,19;9,49;2,31;0,20;4,99;8,25;-0,41;2,10;4,90;2,95;6,41;0,60;0,39;0,07;-2,54;25,92;118.580.437,88;13,37;0,65;0,07;6.824.976.804,16
BRSR6;9,71;10,59;4,86;0,44;0,03;33,25;5,75;6,82;5,77;6,16;;;0,33;0,71;-0,04;4,16;8,99;0,71;;0,08;0,92;0,10;-5,99;2,31;22.424.720,69;22,21;2,00;-0,23;4.239.777.113,38
CAMB3;6,85;2,81;4,62;1,82;0,76;44,76;20,40;15,51;3,51;4,76;1,25;0,65;0,72;5,33;-1,46;1,42;39,48;16,44;29,85;0,42;0,59;1,06;-2,78;;445.034,81;3,76;1,48;0,01;289.584.298,00
CAML3;8,55;4,27;31,89;1,06;0,36;21,39;6,87;1,00;4,65;8,55;3,90;0,89;0,32;1,14;-0,92;2,08;3,34;1,13;8,95;0,34;0,66;1,13;12,75;-13,69;9.307.923,23;8,04;0,27;-0,41;3.078.000.000,00
CBAV3;12,04;3,18;5,34;1,32;0,59;27,15;35,49;40,99;6,16;7,40;1,23;0,26;2,19;2,61;-0,93;2,57;24,67;10,98;13,39;0,45;0,54;0,27;;;49.280.068,31;9,15;2,26;-0,01;7.173.833.329,32
CCRO3;11,15;3,41;5,34;1,83;0,45;59,20;54,69;22,86;2,23;4,25;2,02;1,65;1,22;5,52;-0,60;1,47;34,19;8,39;17,14;0,25;0,75;0,37;4,14;19,73;154.845.548,12;6,11;2,09;0,01;22.523.000.000,00
CEAB3;2,31;;-12,36;0,26;0,08;49,14;2,18;-0,94;5,36;13,99;8,63;0,41;0,12;0,86;-0,14;1,25;-2,07;-0,64;0,52;0,31;0,69;0,68;1,51;;12.700.249,08;9,04;-0,19;0,10;712.046.107,08
CESP6;25,25;;833,78;1,09;0,57;29,46;23,05;0,43;15,43;18,17;2,67;0,19;3,56;60,78;-0,62;1,13;0,13;0,07;5,36;0,53;0,47;0,16;6,56;-50,99;75.751.511,28;23,16;0,03;-8,38;8.302.192.833,55
CGAS5;129,30;21,24;10,00;10,30;1,32;21,52;15,76;10,42;6,61;8,46;2,02;3,15;1,04;8,16;-2,27;1,64;103,02;13,23;27,93;0,13;0,87;1,27;15,66;13,72;564.366,58;12,55;12,93;-0,65;16.696.268.756,13
CGRA4;27,70;12,52;4,62;0,66;0,48;54,94;16,17;17,17;4,91;4,20;-0,81;-0,11;0,79;1,80;-0,85;2,51;14,33;10,28;10,25;0,72;0,28;0,60;9,46;12,62;296.354,23;41,84;5,99;-0,12;546.320.653,29
CIEL3;4,35;5,75;8,32;1,09;0,11;37,79;22,75;12,82;4,69;6,00;1,31;0,30;1,07;0,93;-0,87;1,16;13,08;1,37;10,12;0,11;0,87;0,11;-1,02;-18,73;149.514.617,15;4,00;0,52;0,16;11.818.145.515,35
CLSC4;55,91;12,63;6,61;0,74;0,18;13,36;6,71;4,19;4,13;6,48;2,47;0,45;0,28;3,82;-0,27;1,19;11,26;2,79;8,32;0,25;0,75;0,66;13,22;;275.811,15;75,16;8,46;-0,12;2.095.671.275,77
CMIG3;17,27;9,73;9,34;1,80;0,70;16,75;13,08;11,65;8,32;7,75;1,44;0,31;1,09;12,13;-0,96;1,27;19,31;7,47;13,90;0,39;0,61;0,64;12,38;64,85;7.348.926,85;9,57;1,85;-7,46;28.814.186.939,84
CMIG4;10,99;15,30;5,94;1,15;0,44;16,75;13,08;11,65;5,29;7,75;1,44;0,31;0,69;7,72;-0,61;1,27;19,31;7,47;13,90;0,39;0,61;0,64;12,38;64,85;135.763.264,00;9,57;1,85;-4,75;28.814.186.939,84
CMIN3;3,70;26,80;7,29;1,54;0,77;42,30;33,29;23,29;5,10;4,72;-0,39;-0,12;1,70;2,73;-1,37;2,77;21,13;10,50;13,85;0,50;0,50;0,45;;;42.232.568,23;2,40;0,51;-0,12;20.295.753.700,60
COCE5;42,85;4,54;6,43;0,90;0,27;18,27;14,95;5,84;2,51;5,64;3,13;1,12;0,38;-4,27;-0,36;0,81;13,98;4,17;14,65;0,30;0,70;0,71;14,63;5,71;4.902.582,69;47,66;6,66;0,59;3.322.432.443,42
COGN3;2,12;;-15,28;0,32;0,15;60,85;7,28;-5,32;11,17;27,99;16,82;0,48;0,81;4,24;-0,19;1,24;-2,10;-0,99;1,63;0,47;0,49;0,19;-1,85;;102.662.415,50;6,60;-0,14;0,16;3.978.405.165,20
CPFE3;32,27;12,21;7,36;2,41;0,56;28,01;22,96;12,78;4,10;6,21;2,12;1,25;0,94;-35,44;-0,72;0,93;32,77;7,66;18,36;0,23;0,76;0,60;15,46;41,19;65.526.174,50;13,39;4,39;0,51;37.183.250.778,80
CPLE11;38,18;12,77;23,79;1,00;0,42;21,07;13,04;3,84;7,00;10,02;3,02;0,43;0,91;5,58;-0,53;1,54;4,19;1,76;8,15;0,42;0,57;0,46;12,85;-0,39;23.495.433,69;38,31;1,60;-0,28;20.896.324.435,00
CPLE3;7,03;12,84;21,90;0,92;0,39;21,07;13,04;3,84;6,45;10,02;3,02;0,43;0,84;5,13;-0,49;1,54;4,19;1,76;8,15;0,42;0,57;0,46;12,85;-0,39;12.397.184,69;7,66;0,32;-0,26;20.896.324.435,00
CPLE6;7,82;12,70;24,36;1,02;0,43;21,07;13,04;3,84;7,17;10,02;3,02;0,43;0,93;5,71;-0,55;1,54;4,19;1,76;8,15;0,42;0,57;0,46;12,85;-0,39;151.611.125,38;7,66;0,32;-0,29;20.896.324.435,00
CRFB3;14,75;2,35;13,32;1,55;0,38;18,76;5,32;2,46;6,14;9,74;3,59;0,91;0,33;-15,63;-0,66;0,95;11,65;2,85;10,20;0,24;0,74;1,16;10,34;14,69;120.415.248,27;9,50;1,11;-0,56;31.028.767.732,50
CRPG5;28,48;19,62;7,80;0,91;0,70;12,60;10,13;11,61;8,94;9,72;-1,68;-0,17;0,91;1,52;-1,68;4,91;11,62;9,03;8,91;0,78;0,22;0,78;17,77;4,74;831.539,65;31,40;3,65;-0,12;1.053.595.693,84
CSAN3;16,49;4,87;21,16;1,98;0,32;23,12;17,22;4,09;5,02;10,11;5,08;2,00;0,87;2,72;-0,43;1,89;9,33;1,52;6,87;0,16;0,68;0,37;26,99;7,11;204.034.499,12;8,35;0,78;-0,29;30.903.429.668,68
CSED3;3,90;3,36;31,55;1,03;0,31;47,12;17,73;2,37;4,22;4,63;0,41;0,10;0,75;2,74;-0,42;1,84;3,28;0,99;13,91;0,30;0,70;0,42;;;2.748.599,50;3,77;0,12;-0,71;1.489.106.736,00
CSMG3;15,54;2,47;9,24;0,82;0,47;35,28;16,58;10,40;5,80;8,77;2,97;0,42;0,96;909,94;-0,56;1,00;8,89;5,13;7,80;0,58;0,42;0,49;7,89;8,05;26.577.076,50;18,91;1,68;-0,67;5.909.132.692,26
CSNA3;14,08;14,58;7,65;0,88;0,23;31,61;20,71;5,60;2,07;4,44;2,37;1,01;0,43;1,92;-0,36;1,45;11,56;2,95;9,56;0,26;0,71;0,53;22,81;;204.023.960,77;15,92;1,84;-0,09;18.671.402.773,76
CSUD3;11,61;7,51;7,10;1,34;0,82;36,51;18,99;12,96;4,85;4,86;0,01;0,00;0,92;22,51;-1,18;1,14;18,83;11,58;15,97;0,61;0,39;0,89;1,99;14,37;1.331.860,73;8,68;1,63;0,39;485.298.000,00
CURY3;10,70;4,82;9,14;4,82;1,07;36,97;20,35;15,77;7,08;6,44;-0,64;-0,43;1,44;4,11;-4,06;1,55;52,72;11,72;32,53;0,22;0,73;0,74;;;24.000.554,54;2,22;1,17;0,04;3.123.063.441,60
CXSE3;7,96;8,15;9,37;2,03;2,01;;;;8,26;7,82;-0,44;-0,11;;18,65;-2,28;9,23;21,69;21,41;21,12;0,99;0,01;0,00;;18,54;22.754.100,04;3,92;0,85;0,23;23.880.000.000,00
CYRE3;13,22;4,27;6,45;0,82;0,36;32,54;17,75;15,28;5,56;7,28;1,73;0,25;0,99;1,00;-0,79;2,90;12,63;5,55;7,54;0,44;0,52;0,36;8,44;40,16;146.446.583,85;16,22;2,05;-0,44;5.284.599.802,78
DASA3;13,98;2,15;-23,08;1,05;0,31;28,99;6,26;-2,71;9,99;19,37;9,38;0,98;0,63;5,07;-0,43;1,29;-4,54;-1,35;3,94;0,30;0,70;0,50;27,93;;3.694.397,65;13,33;-0,61;-0,03;7.836.884.130,72
DESK3;8,67;0,16;16,32;0,82;0,31;57,26;27,45;7,29;4,33;7,63;3,30;0,63;1,19;9,24;-0,38;1,23;5,03;1,92;9,56;0,38;0,61;0,26;;;2.193.876,08;10,55;0,53;0,12;756.608.687,46
DEXP3;6,88;5,59;4,84;1,23;0,49;17,70;10,18;6,13;2,92;3,87;0,97;0,41;0,30;1,18;-1,39;2,75;25,35;10,07;22,04;0,40;0,52;1,64;32,29;20,48;1.341.016,08;5,60;1,42;-0,15;641.676.214,35
DIRR3;14,49;3,24;12,32;1,60;0,35;35,38;17,60;8,34;5,84;6,72;0,88;0,24;1,03;0,89;-0,74;3,92;13,00;2,84;10,81;0,22;0,75;0,34;5,52;;44.525.375,04;9,05;1,18;0,91;2.173.500.000,00
DMMO3;1,85;;-256,93;-1,87;2,74;54,54;8,16;-1,10;34,73;31,88;-2,85;;2,84;9,17;-6,62;2,04;-0,73;-1,07;-5,39;-1,47;2,47;0,97;-1,34;;19.500.526,50;-0,99;-0,01;2,50;942.917.377,65
DXCO3;7,48;17,12;5,05;0,96;0,37;34,82;15,97;12,88;4,07;6,70;2,63;0,62;0,65;3,50;-0,57;1,41;19,09;7,27;11,26;0,38;0,62;0,56;15,88;116,62;41.612.767,81;7,76;1,48;-0,23;5.692.002.873,48
ECOR3;4,15;;19,82;1,28;0,16;30,72;24,54;2,68;2,17;9,30;7,13;4,22;0,53;-4,19;-0,19;0,81;6,47;0,81;7,70;0,12;0,86;0,30;10,46;;29.203.831,38;3,24;0,21;-0,13;2.889.787.029,60
EGIE3;39,19;7,19;17,28;3,97;0,81;52,31;43,75;15,99;6,32;9,26;2,94;1,85;2,76;16,55;-1,06;1,26;23,00;4,66;17,82;0,20;0,80;0,29;14,25;3,64;76.858.724,92;9,86;2,27;-0,65;31.976.208.130,60
ELET3;43,00;1,80;21,08;0,89;0,37;56,99;24,48;12,50;10,76;14,75;3,90;0,32;2,63;5,26;-0,44;1,76;4,21;1,76;4,52;0,42;0,58;0,14;-9,01;6,50;576.900.958,35;48,45;2,04;-0,78;99.728.639.083,78
ELET6;45,77;3,53;22,44;0,94;0,40;56,99;24,48;12,50;11,46;14,75;3,90;0,32;2,80;5,60;-0,47;1,76;4,21;1,76;4,52;0,42;0,58;0,14;-9,01;6,50;159.846.152,96;48,45;2,04;-0,83;99.728.639.083,78
ELMD3;9,80;;-167,32;1,86;0,70;32,37;11,24;-1,17;17,44;24,43;7,00;0,75;1,96;-9,26;-0,83;0,67;-1,11;-0,42;4,51;0,38;0,55;0,36;;;3.093.282,85;5,26;-0,06;2,14;1.371.840.779,40
